transaction_id,transaction_time,card_number,customer_id,merchant_id,merchant_name,merchant_region,amount,category
3a2d1adc-070a-4034-bb5f-a29ac0a55eb3,2025-04-01 14:25:51.105334,****-****-****-2144,4dc3b109-8d1e-4bf4-9f8a-f23a53aa6865,bba8f8b5-6b89-4b71-80ec-7fbf9567d487,배배,광주,664518.72,교육
4b6c8265-49b7-4e6e-b287-875abf928033,2025-03-13 06:14:18.202474,****-****-****-6955,4c6636b2-f8fa-47e7-a01e-66b53d56f674,074cf08b-524d-4861-96de-1d2512eb894a,유한회사 박,경북,458429.09,교육
273684cd-269e-46ef-baba-612b45e6da6f,2025-03-21 15:04:10.550342,****-****-****-9640,7a7f993a-e02a-42af-80bf-8fc6ad53e569,26a832ec-bd24-4ac0-a11e-20d623db9e6c,(주) 강,인천,451905.12,식음료
b4989c28-88de-4f52-80a8-782e412ce771,2025-03-17 15:56:13.364366,****-****-****-3665,89946ab4-4462-4083-8e2b-e09179069445,c27615d9-3103-4831-9d13-ee2c3a355f9d,최고,전북,643759.36,교육
8a99d176-18b5-4c0b-9e3e-a55d397d1adb,2025-02-02 08:51:27.631372,****-****-****-1142,25b42908-99b5-4852-8c99-d6732ac59880,5dc90df4-9000-499f-bf10-3242d096e962,김김김,경기,356452.94,엔터테인먼트
5a42c546-b60e-44da-9ef2-c998b9b9903d,2025-02-15 03:53:47.141545,****-****-****-5826,dd540a3e-afbd-421c-a4ac-aed7af4d1b46,6b8262f9-f88b-412a-a1e1-824f6d75d2cf,주식회사 최,제주,738822.67,의료
1b5f2e12-1e79-45a0-a0f8-ba9f50ee9ac1,2025-03-17 15:27:58.959330,****-****-****-3246,56fad95a-031c-49ea-b425-bbb9484be406,de49a9f4-c796-4979-9966-0751218d769b,이권한,강원,800944.08,교통
53620c02-c8d4-44c8-86cd-a70527f25108,2025-04-25 00:21:18.285844,****-****-****-7499,439eee51-594f-4b21-ab10-c6cdbba4ffe6,3b59b7d8-f9c4-4389-b696-87306d52fd33,(주) 박엄김,경기,180242.42,의료
dcc14e83-034c-40e5-ab85-b4d126b99821,2025-03-24 12:29:14.440126,****-****-****-2835,899b98d3-2c96-4c1f-b408-b2aa20babba6,fda130f9-1b83-4ad3-8d81-d3e7b156370f,이김이,경남,676030.48,여행
f326c395-de2e-4f3f-850f-8ef366e4181c,2025-03-23 20:50:04.118720,****-****-****-8087,24fb07db-1fd7-4541-98d9-b8a46aee7556,f3d50a9c-fca2-4863-b9f2-622ec0220c5c,김홍김,전북,996129.97,의료
8b825521-7a96-40a0-a401-fe84907092eb,2025-02-12 20:18:05.034757,****-****-****-9807,716e776d-1856-47b2-a736-0c2d8b095370,9adc7a04-77f3-4469-8fc3-a8d2b23b00e6,이오,대구,823672.21,식음료
3bfe2642-6439-4db5-a31d-ed13f93bcd9d,2025-02-07 11:20:35.519055,****-****-****-8728,770fa606-c415-4110-8d1b-ec79acc1c800,a633be9e-9bb2-40f8-8fd7-9847beb883b9,주식회사 박김김,울산,531827.7,보험
cd838b6f-9934-4e50-bb9f-e6db97651fd0,2025-02-13 06:59:27.008054,****-****-****-4815,680e899a-9749-4e7f-88a4-073258f08b96,10ec7a69-dbdc-40c1-8fe2-6f71b35169ac,박송,충북,437373.74,의료
8b732c49-9648-4dc6-94b7-07078ed28030,2025-04-03 06:09:27.667594,****-****-****-2013,f0cb22c1-d565-4666-b2d4-47f03796c682,4a2f7bb1-7097-4688-b4f5-77e72ae744bc,오김,충북,390576.44,통신
ca16310d-8265-4362-a61f-d5b181a41085,2025-04-20 08:51:51.698808,****-****-****-7292,c9ae8368-26a0-4053-af3e-c52531df39aa,9b25a1d6-af64-44c8-a34a-eea13c5c645a,(유) 김이최,대구,377481.96,통신
7afc16d3-70e1-494a-a41e-552153cae28b,2025-02-05 10:36:57.584719,****-****-****-9460,a9f539d7-b6a6-4372-bcd9-ba4b155db102,9c5f82f9-19d5-4d2f-a433-d0940dbf8335,(주) 김김장,강원,181346.34,통신
ce285001-851d-42cc-b049-3822cdb88280,2025-02-11 00:49:31.553597,****-****-****-6252,5b8533bb-f55c-4548-b4a8-63ed5e1f7f5d,849a31df-4de6-4354-b1c8-a443a45218ac,김윤,경기,774819.72,엔터테인먼트
